Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
Croatia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,4355.77,1.58E+06,Kg
Armenia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,3267.5,1.15E+06,Kg
Australia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,2349.54,485441,Kg
Lithuania,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,1947.05,2.55E+06,Kg
Guatemala,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,1734.31,4.71E+06,Kg
El Salvador,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,1491.95,,
Argentina,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,1333.69,418048,Kg
Philippines,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,1254.66,451221,Kg
Bosnia and Herzegovina,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,1068.79,372238,Kg
Panama,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,724.42,442000,Kg
Czech Republic,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,717.79,105655,Kg
Latvia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,667.24,24115.3,Kg
Portugal,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,563.37,184712,Kg
Sweden,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,529.7,63449.7,Kg
Colombia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,393.95,133455,Kg
South Africa,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,388.49,122902,Kg
Finland,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,320.86,49657,Kg
Israel,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,284,100179,Kg
Norway,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,183.22,17452,Kg
Slovenia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,173.81,28816.1,Kg
Madagascar,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,162.96,60035,Kg
"Other Asia, nes",Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,161.74,20359,Kg
Vietnam,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,149.33,52674.4,Kg
Ireland,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,144.38,24532.2,Kg
Kuwait,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,140.34,19460.5,Kg
Saudi Arabia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,138.93,30970,Kg
Denmark,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,132.57,15506,Kg
North Macedonia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,128.07,48585,Kg
Costa Rica,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,124.74,39259.2,Kg
Chile,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,123.78,20601.7,Kg
Thailand,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,109.24,18435,Kg
Cambodia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,105.48,515408,Kg
Hungary,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,104.24,11954,Kg
"Hong Kong, China",Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,103.34,27652,Kg
Iceland,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,95.76,33317.2,Kg
"Congo, Dem. Rep.",Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,75.75,102010,Kg
Dominican Republic,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,71.52,25200,Kg
Angola,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,65.25,19935.5,Kg
Romania,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,65.15,7718.39,Kg
Ecuador,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,51.96,15000,Kg
Qatar,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,42.32,1705.32,Kg
Luxembourg,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,41.11,3063.63,Kg
Mozambique,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,37.22,7173,Kg
Uzbekistan,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,35.74,12435.5,Kg
Morocco,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,35.33,3531.56,Kg
Bolivia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,32.75,11000,Kg
Niger,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,28.37,49838,Kg
Ethiopia(excludes Eritrea),Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,25,810,Kg
Bahrain,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,15.65,2418.71,Kg
French Polynesia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,14.99,2413.77,Kg
Malta,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,13.37,823,Kg
Kenya,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,11.47,2977,Kg
"Gambia, The",Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,11.42,9800,Kg
Oman,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,10.3,10210,Kg
Barbados,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,8.73,1648,Kg
Jordan,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,7.96,2806.28,Kg
Macao,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,7.81,616,Kg
Georgia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,7.73,1083.82,Kg
Lebanon,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,7.01,821,Kg
"Egypt, Arab Rep.",Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,6.92,2407.55,Kg
Guyana,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,6.46,1060,Kg
Moldova,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,5.29,821,Kg
Bermuda,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,4.52,264.23,Kg
Azerbaijan,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,4.44,999.04,Kg
Uruguay,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,2.94,340,Kg
Honduras,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,2.93,2000.39,Kg
Montenegro,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,2.89,207.38,Kg
Pakistan,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,2.67,334,Kg
Nicaragua,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,2.15,568.49,Kg
Kyrgyz Republic,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,2,12000,Kg
Paraguay,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,1.49,120,Kg
Namibia,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,1.46,184.995,Kg
Mauritius,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,1.28,248,Kg
Cyprus,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,1.04,151,Kg
Tanzania,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,1.03,1635,Kg
Nepal,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.84,138.875,Kg
Seychelles,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.83,65.24,Kg
Aruba,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.5,85.15,Kg
Eswatini,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.49,658,Kg
Fiji,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.47,80,Kg
Belize,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.47,75.21,Kg
Cayman Islands,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.4,139.687,Kg
Senegal,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.33,850,Kg
Botswana,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.27,58,Kg
Comoros,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.24,225,Kg
Lao PDR,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.23,192,Kg
"Congo, Rep.",Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.11,293,Kg
Brunei,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.08,17,Kg
Jamaica,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.06,9.61,Kg
Andorra,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.03,8,Kg
Rwanda,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.03,2,Kg
Sri Lanka,Import,180100,"Cocoa beans; whole or broken, raw or roasted",2021, World,0.01,1.5,Kg
